#FeatureID	ESTIMATED
G000010605	0.0187251
G000091305	0.0804602
G000092385	0.0179723
G000147815	0.0172387
G000158915	0.016814
G000158935	0.131578
G000158955	0.0179144
G000317595	0.0299795
G000331005	0.0156558
G000349325	0.0200185
G000376565	0.0158102
G000716675	0.0181267
G000717745	0.019922
G000718015	0.0300181
G000718315	0.015733
G000718635	0.0159453
G000721105	0.0169298
G000935125	0.0515424
G000938975	0.0173352
G001187435	0.0242076
G001279985	0.0157523
G001298575	0.0166017
G001418465	0.0190919
G001418585	0.0165824
G001419745	0.0173932
G001509795	0.0198062
G001511815	0.0184742
G001513975	0.0215436
G001654495	0.0159453
G001660045	0.0178951
G001729485	0.228987
