#FeatureID	ESTIMATED
G000010605	0.0163155
G000091305	0.0976166
G000156435	0.0147946
G000158955	0.0155723
G000203835	0.0156242
G000317595	0.0503638
G000331005	0.01775
G000349325	0.0220882
G000376565	0.015918
G000444875	0.0139304
G000497445	0.0141033
G000695235	0.0145872
G000716215	0.0189426
G000716675	0.0166266
G000716805	0.0150711
G000718315	0.0138613
G000721105	0.0198068
G000721235	0.0146563
G000725495	0.015244
G000830005	0.0179229
G000968255	0.0153649
G001005085	0.0148983
G001013905	0.0139304
G001278075	0.0139996
G001279985	0.019271
G001298575	0.0208438
G001418465	0.0163501
G001418585	0.0184241
G001418655	0.0160908
G001419745	0.0145008
G001509795	0.0296756
G001511815	0.0192364
G001513975	0.0335298
G001514045	0.0159007
G001611795	0.0146218
G001654495	0.015123
G001660045	0.0143107
G001729485	0.253133
