#FeatureID	ESTIMATED
G000016325	0.0356986
G000025565	0.0471198
G000164865	0.0620845
G000195995	0.0528011
G000215745	0.0611035
G000240185	0.0742964
G000247895	0.0783085
G000248015	0.0261663
G000262305	0.0137933
G000300455	0.035479
G000302695	0.0168682
G000463155	0.0249802
G000621185	0.0255659
G000648515	0.0808563
G000694955	0.0444402
G000735365	0.0259466
G000735455	0.0651448
G000735515	0.0353618
G000757785	0.0327262
G000757825	0.0349225
G000759795	0.0271473
G000982825	0.0254049
G001022135	0.0326237
G001571285	0.0411603
