#FeatureID	ESTIMATED
G000011405	0.0263247
G000014605	0.0263022
G000017785	0.0262797
G000154145	0.036337
G000168775	0.0279897
G000170295	0.0263472
G000262205	0.0486331
G000313385	0.0262572
G000478845	0.0270559
G000524575	0.0301384
G000681495	0.0260547
G000833335	0.0279222
G001042525	0.0491281
G001042545	0.0489931
G001412545	0.0307459
G001574475	0.0262572
G001574485	0.0262572
G001574495	0.0261784
G001574565	0.0261784
G001574585	0.0263697
G001574635	0.0267747
G001574655	0.0282709
G001574675	0.0285746
G001574695	0.0283496
G001574705	0.0265497
G001574755	0.0261559
G001574775	0.0283159
G001574785	0.0279784
G001574795	0.0264372
G001574835	0.0261784
G001574885	0.0260884
G001611815	0.0284959
G001696935	0.0281246
G001696955	0.0279559
