#FeatureID	ESTIMATED
G000016325	0.0324419
G000025565	0.0443028
G000164865	0.064685
G000195995	0.0271144
G000240185	0.137825
G000247895	0.0764929
G000262305	0.0147499
G000300455	0.0392669
G000302695	0.0160752
G000463155	0.03003
G000621185	0.033237
G000648515	0.0319383
G000694955	0.0430041
G000735365	0.02184
G000735455	0.0736701
G000735515	0.0329587
G000757785	0.0396379
G000757825	0.0203292
G000759795	0.0272735
G001022195	0.0856901
G001187865	0.0193618
G001558935	0.0394127
G001571285	0.0351719
G001654915	0.0134909
