#FeatureID	ESTIMATED
G000284035	0.0226991
G000308355	0.341344
G000308495	0.0301438
G000308515	0.0815634
G000308595	0.027498
G000308615	0.0237574
G000308655	0.0327713
G000308675	0.0187213
G000308715	0.0665462
G000308755	0.0224619
G000308795	0.0224071
G000308835	0.0186848
G000308855	0.0134662
G000308875	0.0278447
G000381925	0.0174987
G000523235	0.021732
G000526215	0.0345595
G001182745	0.0257645
G001310275	0.0231735
G001612765	0.022991
G001613465	0.0242683
G001613505	0.0169331
G001865855	0.0397051
G001886715	0.0234654
