#FeatureID	ESTIMATED
G000009765	0.0153149
G000091305	0.0159015
G000156435	0.0225918
G000158935	0.041886
G000158955	0.088322
G000203835	0.0200393
G000317595	0.0171381
G000331005	0.0137295
G000349325	0.0179783
G000376565	0.0159807
G000444875	0.0165198
G000716215	0.0234479
G000716805	0.0148709
G000718595	0.0146648
G000719335	0.0270626
G000720455	0.114465
G000721105	0.0231942
G000721235	0.0376371
G000725495	0.0162185
G000830005	0.0134282
G000968255	0.0143795
G001005085	0.0167576
G001013905	0.0187234
G001279985	0.0166783
G001298575	0.0172332
G001418335	0.0248272
G001418415	0.0166783
G001418475	0.0166149
G001418585	0.0190405
G001418655	0.0153466
G001419695	0.0152356
G001509795	0.0227503
G001511815	0.0186442
G001514045	0.0217357
G001654495	0.0156161
G001660045	0.0162502
G001746425	0.128004
G001905365	0.0150929
