REF_ID	ESTIMATED_DISTANCE	PORTION_MAPPED	TRUE_DISTANCE
G000184435	0.178593	0.43262	0.21309667012131225
G000230895	0.192232	0.37438	0.23882296282502086
G000230935	0.185335	0.39526	0.2270185739646603
G000234585	0.194827	0.23584	0.2353198494347077
G000266905	0.184138	0.43239	0.21390638836513018
G000317305	0.195453	0.30954	0.2445740313794469
G000373905	0.195052	0.1353	0.2471705085425724
G000379865		0.2180048821143178
G000455165	0.187375	0.40244	0.22450667012131226
G000455325	0.189873	0.38585	0.22162050854257243
G000612825	0.190181	0.39566	0.2261305085425724
G000613185	0.19089	0.37885	0.22536403137944688
G000620625	0.192752	0.38854	0.23827403137944686
G000805385	0.192912	0.36652	0.2296905085425724
G001005175	0.189344	0.38228	0.21577488211431778
G001021385	0.178969	0.41045	0.22328328974310035
G001044235	0.180758	0.45587	0.2090263883651302
G001044245	0.1885	0.37143	0.22566638836513017
G001049355	0.186079	0.42427	0.22351667012131227
G001291445	0.194343	0.3168	0.23724403137944688
G001307545	0.192181	0.35581	0.22672050854257242
G001426545	0.197267	0.33396	0.24621403137944692
G001428895	0.193928	0.37089	0.2373340313794469
G001494595	0.189355	0.37252	0.2260242209105207
G001499855	0.190025	0.36443	0.21560488211431778
G001499915	0.190273	0.36777	0.22105488211431776
G001570425	0.191223	0.37898	0.2305005085425724
G001583415	0.18322	0.41378	0.21211488211431778
G001655245	0.175967	0.46171	0.20216416501841883
