#FeatureID	ESTIMATED
G000009765	0.0164333
G000091305	0.0411465
G000156435	0.0408654
G000158935	0.073254
G000204605	0.0130595
G000317595	0.0193573
G000331005	0.0149432
G000349325	0.0290851
G000376565	0.0288602
G000444875	0.0338507
G000497445	0.0395299
G000716215	0.0269906
G000716675	0.0153649
G000716805	0.0176282
G000718315	0.0274966
G000719955	0.0107259
G000720475	0.0111617
G000721105	0.0291414
G000721235	0.0208755
G000725495	0.0201164
G000725795	0.0170237
G000802245	0.0152244
G000968255	0.0201305
G001279985	0.0206365
G001418335	0.0168269
G001418415	0.165767
G001418465	0.0162365
G001418585	0.0260346
G001418655	0.0188512
G001419745	0.0162927
G001513975	0.0428756
G001514045	0.0267516
G001611795	0.0281433
G001654495	0.0194276
G001660045	0.0198915
