#FeatureID	ESTIMATED
G000009765	0.0145368
G000010605	0.0206521
G000091305	0.0138508
G000092385	0.0183023
G000147815	0.0153249
G000156435	0.016799
G000158915	0.0173536
G000158935	0.0186818
G000158955	0.0130189
G000203835	0.0191196
G000253235	0.0117053
G000317595	0.0185796
G000342125	0.0164925
G000349325	0.0122745
G000376565	0.0137194
G000429085	0.0123329
G000444875	0.0146827
G000497425	0.0135443
G000497445	0.012654
G000695235	0.0163028
G000716215	0.0114134
G000716805	0.0128145
G000717025	0.0207397
G000717345	0.0185796
G000718015	0.0232938
G000718315	0.0120118
G000718595	0.0122599
G000718635	0.0169741
G000719265	0.0136319
G000719335	0.0126978
G000720475	0.0244468
G000721105	0.0126686
G000721235	0.0233668
G000721275	0.0131502
G000725495	0.0164925
G000725795	0.0119534
G000827005	0.0126102
G000830005	0.0124642
G000935125	0.0127999
G000938975	0.0176163
G000968255	0.015719
G001005085	0.0152519
G001013905	0.0158503
G001278075	0.0136756
G001279695	0.0127561
G001279985	0.0150038
G001298575	0.018711
G001418335	0.0199515
G001418415	0.015033
G001418465	0.0174996
G001418475	0.0152081
G001418585	0.0170909
G001418655	0.0151497
G001419745	0.0169158
G001509795	0.0158357
G001511815	0.0172077
G001513975	0.0131502
G001514045	0.0148141
G001611795	0.0140697
G001646665	0.0122307
G001654495	0.0181563
G001660045	0.0160255
G001729485	0.0185066
G001750785	0.014274
