#FeatureID	ESTIMATED
G000009765	0.0236715
G000158915	0.0200966
G000204605	0.0187681
G000253235	0.0271256
G000317595	0.0202415
G000349325	0.0222705
G000376565	0.0426087
G000695235	0.0258454
G000716215	0.0249034
G000716675	0.024686
G000716805	0.0314493
G000717345	0.0233575
G000720455	0.0217391
G000720475	0.0221256
G000721105	0.0227053
G000721235	0.0178744
G000721275	0.0198068
G000721445	0.0269565
G000725495	0.0228744
G000830005	0.029372
G000935125	0.0216425
G000968255	0.0292754
G001005085	0.0247343
G001013905	0.019058
G001279695	0.0222947
G001279985	0.0232126
G001298575	0.0194203
G001418415	0.0189372
G001418465	0.0453623
G001418655	0.0650242
G001511815	0.0270531
G001513975	0.0211594
G001514045	0.0224638
G001611795	0.0288406
G001646665	0.0192754
G001654495	0.022343
G001729485	0.0205314
G001746425	0.0319082
G001751375	0.0289855
