#FeatureID	ESTIMATED
G000011405	0.0275519
G000014605	0.0275519
G000017785	0.0274181
G000154145	0.0466952
G000168775	0.0290854
G000170295	0.0272946
G000262205	0.0408802
G000313385	0.0274284
G000478845	0.0281489
G000524575	0.0348181
G000681495	0.026955
G000833335	0.0290546
G001042525	0.0416418
G001042545	0.0415183
G001412545	0.0355489
G001574475	0.0273873
G001574485	0.0274078
G001574495	0.0271814
G001574565	0.0273255
G001574585	0.0275005
G001574635	0.027871
G001574655	0.0293119
G001574675	0.0293839
G001574695	0.0294765
G001574705	0.0276034
G001574755	0.0273667
G001574775	0.0293016
G001574785	0.0290031
G001574795	0.027521
G001574835	0.0272843
G001574885	0.0286326
G001611815	0.0296103
G001696955	0.0292398
