#FeatureID	ESTIMATED
G000009765	0.0149025
G000091305	0.0154125
G000156435	0.0210344
G000158935	0.0175032
G000158955	0.0235458
G000203835	0.0174649
G000204605	0.0130796
G000317595	0.0146221
G000331005	0.0284028
G000349325	0.0289765
G000376565	0.0234183
G000444875	0.0440192
G000497445	0.0578382
G000716215	0.018727
G000716675	0.0502021
G000716805	0.0130668
G000721105	0.0183063
G000721235	0.0173374
G000725495	0.0160371
G000725795	0.0284538
G000802245	0.028339
G000968255	0.0175796
G001005085	0.0293716
G001013905	0.0191859
G001279985	0.0242851
G001298575	0.0219013
G001418335	0.0326862
G001418415	0.0141759
G001418465	0.0183445
G001418475	0.0125951
G001418585	0.0290274
G001419695	0.0138954
G001419745	0.0171972
G001509795	0.0481241
G001511815	0.0663539
G001513975	0.0437643
G001514045	0.0200528
G001611795	0.0193771
G001654495	0.0242597
G001660045	0.0171335
