#FeatureID	ESTIMATED
G000015005	0.0336275
G000230895	0.0252027
G000230935	0.0646331
G000234585	0.0167063
G000328565	0.0208614
G000455165	0.0479411
G000559085	0.109494
G000612825	0.0357194
G000613185	0.0411353
G000805385	0.0434135
G001005175	0.0322664
G001044235	0.0662521
G001044245	0.0347881
G001049355	0.0529845
G001291445	0.0207038
G001307545	0.0403903
G001426545	0.0233831
G001428895	0.0583718
G001494595	0.0348884
G001499855	0.0268361
G001499915	0.0249162
G001583415	0.0549474
G001655245	0.0905379
