#FeatureID	ESTIMATED
G000010605	0.0182965
G000091305	0.0781173
G000158935	0.115254
G000158955	0.016375
G000317595	0.0306756
G000349325	0.0183645
G000376565	0.0139094
G000497445	0.0141985
G000716675	0.0180585
G000717745	0.0206261
G000718015	0.0308966
G000718095	0.0146236
G000718315	0.0149127
G000718635	0.016392
G000719265	0.0156779
G000719955	0.0147596
G000721105	0.0143856
G000830005	0.0143685
G000935125	0.0531551
G001013905	0.0149637
G001187435	0.0258634
G001278075	0.0144366
G001279985	0.0152868
G001298575	0.016171
G001418465	0.0193508
G001418585	0.0148617
G001419745	0.0180245
G001509795	0.0196058
G001511815	0.0183645
G001513975	0.0227516
G001646665	0.0138924
G001654495	0.0153378
G001660045	0.0173103
G001729485	0.220732
