#FeatureID	ESTIMATED
G000023245	0.0193423
G000062885	0.03491
G000194155	0.0388651
G000196675	0.0287335
G000196835	0.0283903
G000231055	0.013545
G000244955	0.0123892
G000244975	0.0411587
G000258175	0.0110166
G000328705	0.0236044
G000374445	0.0295823
G000384035	0.0108541
G000384315	0.0301241
G000423625	0.0154232
G000429025	0.0249047
G000525635	0.0211844
G000564855	0.0223944
G000568255	0.0190172
G000715825	0.0240198
G000715895	0.0110888
G000716595	0.0182045
G000716755	0.0310451
G000717335	0.016868
G000719975	0.0119377
G000732925	0.0193964
G000763095	0.0136353
G000974445	0.172112
G001302585	0.0157664
G001420995	0.0207148
G001701025	0.12167
G001902615	0.0199744
G001921215	0.0213289
G900104505	0.0143938
G900115565	0.023785
G900129375	0.0186199
