#FeatureID	ESTIMATED
G000011365	0.0414628
G000012725	0.0110448
G000013365	0.0640268
G000013745	0.0261147
G000013885	0.0173116
G000014825	0.0241021
G000195775	0.0390248
G000284375	0.0477297
G000308295	0.0755297
G000314735	0.102086
G000336555	0.0925468
G000472425	0.0336742
G000504425	0.0146772
G000701345	0.0225967
G000935205	0.0330524
G000938285	0.0387466
G001425835	0.0517058
G001440405	0.0382721
G001641695	0.039303
G001693385	0.0365704
G001908185	0.0314489
G900011245	0.0296981
G900104755	0.0642723
G900108575	0.025002
