#FeatureID	ESTIMATED
G000009765	0.0146421
G000010605	0.0273186
G000156435	0.0134194
G000158935	0.0139921
G000203835	0.015122
G000253235	0.0135587
G000317595	0.0145028
G000349325	0.0138063
G000376565	0.0149827
G000497425	0.0148898
G000716805	0.0147969
G000717025	0.0241921
G000718595	0.014379
G000719955	0.0131408
G000720475	0.305906
G000721235	0.0192855
G000725495	0.0171496
G000830005	0.013667
G000968255	0.0153232
G001005085	0.0133884
G001279695	0.0186819
G001279985	0.0130324
G001298575	0.0170877
G001418335	0.0210036
G001418415	0.0128158
G001418465	0.0766933
G001418475	0.0131717
G001418585	0.0138373
G001418655	0.0166233
G001419745	0.0752384
G001509795	0.0146731
G001511815	0.0154934
G001514045	0.0153851
G001611795	0.0134349
G001646665	0.0135742
G001654495	0.0151994
G001660045	0.0135432
G001750785	0.0130479
