#FeatureID	ESTIMATED
G000011405	0.0183222
G000014605	0.0183107
G000017785	0.0183338
G000019285	0.015459
G000153845	0.0188071
G000154145	0.0148587
G000168775	0.0199501
G000170295	0.0184839
G000219045	0.0164866
G000262205	0.0956867
G000313385	0.0183338
G000478845	0.0189688
G000524575	0.0150088
G000681495	0.0184146
G000742095	0.0130807
G000833335	0.0199155
G001042525	0.0969451
G001042545	0.0967027
G001412545	0.0152512
G001574475	0.0186802
G001574485	0.0185762
G001574495	0.0185762
G001574565	0.0186571
G001574585	0.0186109
G001574635	0.0187725
G001574655	0.0198693
G001574675	0.0198231
G001574695	0.0201118
G001574705	0.0187032
G001574735	0.0198924
G001574755	0.0185762
G001574775	0.0202734
G001574785	0.0197539
G001574795	0.0186455
G001574835	0.0185185
G001574885	0.0192228
G001608445	0.0118223
G001611815	0.0205851
G001696925	0.0198
G001696935	0.0199039
G001696945	0.0153089
G001696955	0.0199963
