#FeatureID	ESTIMATED
G000009245	0.0280991
G000011405	0.0302668
G000014605	0.0302668
G000017785	0.0270153
G000153845	0.0275926
G000154145	0.0217277
G000168775	0.0280788
G000170295	0.0270963
G000313385	0.0270355
G000478845	0.0307834
G000524575	0.0221936
G000681495	0.0268329
G000742095	0.0181925
G000833335	0.0281092
G001412545	0.022143
G001574475	0.0272178
G001574485	0.0271672
G001574495	0.0272178
G001574555	0.0285347
G001574565	0.0272178
G001574585	0.0271773
G001574605	0.0272584
G001574655	0.0281801
G001574695	0.0284638
G001574705	0.0272482
G001574735	0.0283118
G001574755	0.0272381
G001574775	0.0282916
G001574785	0.02817
G001574795	0.0272482
G001574835	0.0271571
G001574885	0.026914
G001611815	0.0285043
G001696925	0.0285245
G001696935	0.0282308
G001696945	0.0221329
G001696955	0.0281599
