#FeatureID	ESTIMATED
G000009765	0.0203713
G000091305	0.0176027
G000156435	0.0297409
G000158935	0.0394165
G000158955	0.0907819
G000203835	0.020109
G000317595	0.0297555
G000331005	0.0214787
G000349325	0.0541049
G000376565	0.0302072
G000444875	0.0190598
G000497445	0.0196427
G000716215	0.0496896
G000716805	0.0217993
G000718315	0.0138431
G000721105	0.0470521
G000721235	0.0294641
G000725495	0.0126483
G000968255	0.0205607
G001005085	0.0214496
G001013905	0.0262146
G001279985	0.0276863
G001298575	0.0168304
G001418335	0.021435
G001418415	0.0162329
G001418475	0.0214059
G001418585	0.0270306
G001418655	0.0256171
G001419695	0.0126774
G001509795	0.0674671
G001511815	0.0262728
G001514045	0.0390085
G001654495	0.0144843
G001660045	0.018885
G001905365	0.0299741
