#FeatureID	ESTIMATED
G000011365	0.0490268
G000012725	0.0174547
G000013365	0.024758
G000013745	0.0219101
G000013885	0.0219799
G000014825	0.0222071
G000195775	0.0215257
G000284375	0.0459168
G000308295	0.0130342
G000314675	0.0248454
G000314735	0.20818
G000336555	0.0248803
G000472425	0.0390502
G000504425	0.0150435
G000701345	0.0273264
G000935205	0.0230982
G000938285	0.0431387
G001295845	0.0309956
G001425835	0.0349967
G001440405	0.0423699
G001641695	0.0423524
G001693385	0.0419156
G001908185	0.03919
G900011245	0.0445539
G900104755	0.0587238
G900108575	0.0215257
