#FeatureID	ESTIMATED
G000021885	0.0199169
G000172375	0.0116665
G000209675	0.0414236
G000221945	0.023043
G000259485	0.0401452
G000347595	0.082439
G000442905	0.115741
G000444545	0.0215605
G000444605	0.0303802
G000444645	0.0230644
G000444685	0.0265558
G000444705	0.0176824
G000771775	0.0418855
G000771785	0.0465586
G000771795	0.0424764
G000771955	0.038362
G000772295	0.0453662
G000772365	0.0432069
G000969305	0.0365142
G001611775	0.0448935
G001652405	0.0810854
G001678465	0.0459678
G001679325	0.0400056
G002015085	0.0400593
