#FeatureID	ESTIMATED
G000015305	0.045402
G000184435	0.0392183
G000230895	0.0401189
G000230935	0.0207123
G000234585	0.0211626
G000266905	0.0398787
G000317305	0.0184009
G000455165	0.025215
G000455325	0.0402239
G000559085	0.0205923
G000612825	0.0483288
G000613185	0.0330196
G000620625	0.048764
G000805385	0.0330046
G001005175	0.045387
G001021385	0.020172
G001044235	0.046978
G001044245	0.0270011
G001049355	0.0287271
G001291445	0.0217029
G001307545	0.0305882
G001426545	0.02523
G001428895	0.0277665
G001494595	0.0236841
G001499855	0.0422952
G001499915	0.0405691
G001570425	0.0415297
G001583415	0.0594354
G001655245	0.0448917
