#FeatureID	ESTIMATED
G000006785	0.365613
G000007265	0.0202856
G000009545	0.022196
G000014205	0.0199311
G000017005	0.0283013
G000026745	0.0182176
G000027165	0.0288922
G000187465	0.0383456
G000188015	0.0228065
G000188035	0.0230231
G000188055	0.0149483
G000213825	0.0282816
G000253395	0.0135303
G000270145	0.0152831
G000317855	0.0583161
G000344275	0.0258198
G000376985	0.0182964
G000377005	0.0206204
G000380005	0.0243821
G000385925	0.0257804
G000423745	0.0112851
G000423765	0.0179222
G000440115	0.0185721
G000463355	0.0151452
G000463505	0.0160906
G000772915	0.014259
G000785515	0.0322797
G001182825	0.0168784
G001514435	0.013097
G001598035	0.0116002
