#FeatureID	ESTIMATED
G000015005	0.0301521
G000015305	0.0389353
G000015405	0.0265743
G000184435	0.0295488
G000230895	0.0329863
G000230935	0.0159109
G000234585	0.0108458
G000266905	0.0471012
G000317305	0.0171035
G000455165	0.0318218
G000455325	0.0285947
G000559085	0.0154619
G000613185	0.0283281
G000620625	0.0406892
G000805385	0.0230666
G001005175	0.0319059
G001021385	0.0164721
G001044235	0.166152
G001049355	0.0333371
G001291445	0.0190117
G001307545	0.0235015
G001426545	0.0809715
G001428895	0.0203306
G001494595	0.0184364
G001499855	0.0309799
G001499915	0.0277248
G001570425	0.040605
G001583415	0.0376165
G001655245	0.0358345
