#FeatureID	ESTIMATED
G000023245	0.0137764
G000023865	0.0277525
G000062885	0.0120682
G000196675	0.019988
G000196835	0.0282184
G000231035	0.0354505
G000231055	0.0357832
G000243395	0.0305034
G000244975	0.0401757
G000258175	0.0297491
G000328705	0.0138208
G000374445	0.0348958
G000383795	0.0376911
G000384315	0.0314351
G000423625	0.0105819
G000482865	0.0291058
G000504245	0.0159061
G000525635	0.016372
G000564855	0.0477627
G000568255	0.019988
G000620785	0.0381347
G000715825	0.0176809
G000715895	0.0115358
G000716595	0.0195
G000716755	0.0252457
G000717175	0.0175034
G000717335	0.0214966
G000719975	0.0256228
G000720955	0.0264215
G000732925	0.0352508
G000739085	0.047075
G000974445	0.0279744
G001302585	0.0268208
G001420995	0.0157065
G001701025	0.0192338
G001902615	0.0156177
G001921215	0.0227389
G900115565	0.0433924
G900129375	0.0120239
