#FeatureID	ESTIMATED
G000014385	0.0202591
G000286115	0.0232905
G000309425	0.0245611
G000725025	0.0232204
G000725035	0.0232505
G000762045	0.0115852
G001867465	0.0226102
G001867525	0.0224201
G001867535	0.0224801
G001867555	0.02221
G001867615	0.0223501
G001867795	0.0223401
G001867875	0.0224201
G001867915	0.0224201
G001867975	0.02232
G001868045	0.0223701
G001868055	0.02225
G001868115	0.0225902
G001868145	0.0223801
G001868195	0.02225
G001868205	0.0226602
G001868225	0.02226
G001868275	0.0229903
G001868315	0.02232
G001868345	0.02233
G001868405	0.0223901
G001868425	0.0224301
G001868525	0.0223
G001868545	0.02226
G001868555	0.0223501
G001868715	0.0225301
G001868805	0.02224
G001869295	0.02232
G001869305	0.0224001
G001869395	0.02229
G001869405	0.02231
G001869445	0.0225902
G001869655	0.0225702
G001869735	0.02214
G001869815	0.0223
G001869885	0.02233
G001869945	0.0229503
G001869985	0.02232
G001870005	0.0225001
G001870015	0.0223401
