#FeatureID	ESTIMATED
G000010525	0.0186266
G000011365	0.167564
G000013885	0.0164946
G000014825	0.0335129
G000017645	0.0855775
G000195775	0.0189071
G000218565	0.0171305
G000284375	0.0881396
G000314675	0.0964804
G000336555	0.0266308
G000472425	0.0125673
G000473125	0.0498766
G000504425	0.0125299
G000701345	0.0209455
G000751295	0.0109964
G000935205	0.0374215
G000938305	0.0237507
G001295845	0.033569
G001425835	0.0137268
G001641695	0.0532241
G001693385	0.0200853
G001908185	0.0617332
G900011245	0.0468469
G900104755	0.0227783
G900108575	0.0108842
