#FeatureID	ESTIMATED
G000014385	0.018014
G000286115	0.0225851
G000286215	0.0190665
G000309425	0.0234572
G000725025	0.0232066
G000725035	0.0234873
G000762045	0.0109467
G001867465	0.0219034
G001867535	0.0220939
G001867615	0.0226854
G001867795	0.0228257
G001867835	0.0228257
G001867875	0.0227856
G001867915	0.0227856
G001867975	0.0231264
G001868045	0.022545
G001868055	0.0231064
G001868105	0.0219736
G001868115	0.0219435
G001868145	0.0227555
G001868185	0.0230061
G001868195	0.022134
G001868205	0.0226954
G001868225	0.0231665
G001868275	0.0219335
G001868315	0.0228257
G001868405	0.0228357
G001868425	0.0228157
G001868525	0.0224949
G001868545	0.022946
G001868715	0.0228157
G001868805	0.0219235
G001869295	0.022936
G001869395	0.0227555
G001869405	0.0227255
G001869445	0.022936
G001869655	0.0220839
G001869735	0.022966
G001869815	0.0228257
G001869885	0.0230563
G001869945	0.0219235
G001869985	0.0227054
G001870005	0.0225049
G001870015	0.0229861
G001939485	0.0218834
