#FeatureID	ESTIMATED
G000009765	0.0257034
G000091305	0.0206268
G000156435	0.0257355
G000158935	0.0304117
G000158955	0.0180805
G000203835	0.030684
G000317595	0.018609
G000331005	0.0152619
G000349325	0.0165271
G000376565	0.0189293
G000444875	0.0213315
G000497445	0.0180004
G000695235	0.0132281
G000716215	0.017504
G000716805	0.0162869
G000717345	0.0139968
G000718315	0.0165271
G000720475	0.0481559
G000721105	0.0196499
G000721235	0.0358407
G000725495	0.0257034
G000725795	0.0184969
G000938975	0.0140288
G000968255	0.0250148
G001005085	0.0217318
G001013905	0.0221162
G001279985	0.0196819
G001298575	0.0289384
G001418335	0.0301235
G001418415	0.0246625
G001418465	0.0269206
G001418475	0.0237176
G001418585	0.0264561
G001418655	0.0184488
G001419695	0.016463
G001419745	0.0237336
G001509795	0.0274811
G001511815	0.025175
G001513975	0.0173919
G001514045	0.0227407
G001611795	0.0202745
G001654495	0.0289224
G001660045	0.0236696
G001729485	0.0134202
G001750785	0.0135964
