#FeatureID	ESTIMATED
G000092385	0.0208429
G000158935	0.0218941
G000158955	0.0300987
G000203835	0.0230825
G000317595	0.0248195
G000331005	0.022237
G000349325	0.039926
G000376565	0.0695676
G000716215	0.0519243
G000716675	0.0197002
G000716805	0.0389204
G000721235	0.018626
G000725495	0.0207057
G000968255	0.0200658
G001005085	0.0256422
G001011035	0.0575007
G001013905	0.0182146
G001298575	0.025985
G001418335	0.0200201
G001418415	0.0202487
G001418465	0.0229226
G001418585	0.03131
G001418655	0.050713
G001419745	0.0237225
G001509795	0.0224198
G001511815	0.0212314
G001513975	0.0316985
G001514045	0.136278
G001611795	0.0319271
G001654495	0.0170262
G001660045	0.0207286
