#FeatureID	ESTIMATED
G000009765	0.0137253
G000010605	0.0253046
G000091305	0.0129619
G000092385	0.0168793
G000147815	0.0135092
G000156435	0.0157416
G000158915	0.0151511
G000158935	0.0170378
G000158955	0.0117234
G000203835	0.0180315
G000253235	0.0119538
G000317595	0.0190397
G000342125	0.0137829
G000349325	0.0118674
G000376565	0.013034
G000429085	0.0117666
G000444875	0.0142149
G000497425	0.0154823
G000497445	0.0118818
G000695235	0.0169946
G000716805	0.0126163
G000717025	0.0259671
G000717345	0.0190973
G000718015	0.0241092
G000718315	0.0116658
G000718595	0.0125299
G000718635	0.0171674
G000719265	0.0131492
G000719335	0.0122418
G000719955	0.0119106
G000720475	0.0374456
G000721105	0.011781
G000721235	0.0224818
G000721275	0.0122562
G000725495	0.0155255
G000725795	0.0115217
G000827005	0.0128467
G000830005	0.0122994
G000935125	0.0138405
G000938975	0.0160584
G000968255	0.0141429
G001005085	0.0150503
G001013905	0.0152807
G001278075	0.0136533
G001279695	0.0133796
G001279985	0.0144022
G001298575	0.0174554
G001418335	0.0192701
G001418415	0.014863
G001418465	0.0207967
G001418475	0.0140133
G001418585	0.0165769
G001418655	0.0143734
G001419745	0.0209552
G001509795	0.0150647
G001511815	0.0165193
G001513975	0.0121986
G001514045	0.0141429
G001611795	0.0131924
G001646665	0.0122274
G001654495	0.0173834
G001660045	0.0158568
G001729485	0.018406
G001750785	0.0142005
