#FeatureID	ESTIMATED
G000007865	0.0381516
G000015005	0.0147834
G000015305	0.0150685
G000015405	0.0178301
G000164135	0.0427742
G000184435	0.0117216
G000195835	0.0324033
G000214155	0.0119317
G000222105	0.0361404
G000230895	0.0275105
G000230935	0.0128323
G000257745	0.0147984
G000266905	0.0171697
G000277125	0.0355701
G000340435	0.0190458
G000455325	0.0148584
G000526915	0.0259196
G000559085	0.0117516
G000612825	0.0153687
G000613185	0.0143481
G000620625	0.0288463
G000689255	0.0349547
G000723425	0.0482222
G000759695	0.0261748
G000805385	0.0120518
G001005175	0.0232331
G001021385	0.0129073
G001021495	0.0375062
G001021505	0.0119618
G001044235	0.0182203
G001049355	0.0128623
G001291445	0.0121118
G001307545	0.0108511
G001417955	0.10692
G001426545	0.0107761
G001428895	0.012412
G001494595	0.0135977
G001499855	0.0215372
G001499915	0.019436
G001570425	0.0157889
G001583415	0.0222126
G001584765	0.0277057
G001655245	0.014183
G001881585	0.0155488
