#FeatureID	ESTIMATED
G000009245	0.0243413
G000011405	0.0230899
G000014605	0.0230798
G000017785	0.0232009
G000154145	0.0185688
G000168775	0.0243715
G000170295	0.0230495
G000262205	0.0604495
G000313385	0.0232413
G000478845	0.0233725
G000505725	0.0613779
G000524575	0.0186092
G000681495	0.0230697
G000742095	0.0152587
G000833335	0.0243614
G001042545	0.0614587
G001412545	0.0186192
G001574475	0.0235642
G001574495	0.0235743
G001574555	0.0247247
G001574565	0.0236247
G001574585	0.0235541
G001574605	0.0234734
G001574635	0.0232715
G001574655	0.024422
G001574705	0.0236046
G001574735	0.0244119
G001574755	0.0235036
G001574775	0.0244523
G001574785	0.024311
G001574795	0.0235339
G001574835	0.0234128
G001574865	0.0112624
G001574885	0.0245027
G001611815	0.0248358
G001696925	0.0247348
G001696935	0.0245431
G001696945	0.0186495
G001696955	0.0245128
