#FeatureID	ESTIMATED
G000023245	0.0191506
G000023865	0.0325918
G000062885	0.0187031
G000196835	0.0240367
G000231035	0.0216026
G000243395	0.0648077
G000244955	0.0202781
G000244975	0.0933188
G000258175	0.0572727
G000328705	0.0169849
G000371785	0.040073
G000374445	0.0126716
G000383795	0.0188105
G000384315	0.0234281
G000423625	0.0218173
G000525635	0.0214594
G000564855	0.0163048
G000568255	0.0167881
G000620785	0.0223006
G000715825	0.0171102
G000716595	0.0160901
G000716755	0.0247168
G000717175	0.0427756
G000717335	0.0140497
G000719115	0.0755821
G000719975	0.0131548
G000720955	0.0152668
G000732925	0.0148909
G000739085	0.0221753
G000763095	0.0302651
G001302585	0.0124747
G001420995	0.0246452
G001701025	0.0440821
G001902615	0.0216205
G001921215	0.019598
G900104505	0.0109534
G900129375	0.0181483
