#FeatureID	ESTIMATED
G000014385	0.016758
G000286115	0.0210687
G000286215	0.0182218
G000309425	0.0221085
G000725025	0.0232492
G000725035	0.0236127
G001867465	0.0207153
G001867525	0.0215532
G001867535	0.0209273
G001867555	0.0207456
G001867615	0.0221791
G001867795	0.0227142
G001867835	0.0227748
G001867915	0.022906
G001867975	0.0224719
G001868055	0.0224719
G001868105	0.0207053
G001868115	0.020675
G001868145	0.0226839
G001868185	0.0230877
G001868195	0.0206144
G001868205	0.0210485
G001868225	0.0225426
G001868275	0.0207355
G001868315	0.0225729
G001868345	0.0212807
G001868405	0.0228353
G001868525	0.0211393
G001868545	0.0224618
G001868555	0.0210081
G001868715	0.0224113
G001868805	0.0205033
G001869295	0.0225426
G001869305	0.0225325
G001869395	0.0227849
G001869405	0.0227344
G001869445	0.0226637
G001869655	0.0210182
G001869735	0.0224416
G001869815	0.0226233
G001869885	0.0224921
G001869945	0.0207557
G001869985	0.0226233
G001870005	0.0206144
G001870015	0.0225729
G001939485	0.0208163
