#FeatureID	ESTIMATED
G000009765	0.0218389
G000156435	0.019502
G000158935	0.0235597
G000203835	0.0237933
G000376565	0.0190134
G000719135	0.0199269
G000720475	0.251869
G000721235	0.0290406
G000725495	0.0243244
G000968255	0.021414
G001013905	0.0182911
G001298575	0.0262789
G001418335	0.0285095
G001418415	0.0196295
G001418465	0.0689157
G001418475	0.0211803
G001418585	0.0222425
G001418655	0.0206705
G001419745	0.0754164
G001493375	0.0291681
G001509795	0.0216264
G001511815	0.021414
G001514045	0.020713
G001611795	0.0183973
G001654495	0.0235384
G001660045	0.018716
G900090125	0.0910095
