#FeatureID	ESTIMATED
G000009765	0.0271403
G000091305	0.135059
G000156435	0.0183368
G000158935	0.0169061
G000158955	0.024235
G000203835	0.0181908
G000317595	0.0866182
G000331005	0.0371117
G000349325	0.0354181
G000376565	0.048543
G000444875	0.0181616
G000497445	0.0183076
G000716215	0.0488058
G000716805	0.0324107
G000721105	0.0595655
G000721235	0.0140884
G000968255	0.0272863
G001005085	0.0382358
G001013905	0.0159717
G001279985	0.0201326
G001298575	0.0223663
G001418335	0.0262059
G001418585	0.0353013
G001418655	0.0299726
G001509795	0.0234904
G001511815	0.0187164
G001513975	0.0456669
G001611795	0.0265417
G001654495	0.015417
G001660045	0.0157965
