#FeatureID	ESTIMATED
G000023245	0.0221923
G000062885	0.0250482
G000194155	0.0184815
G000196675	0.0189544
G000196835	0.0676865
G000231035	0.017772
G000231055	0.0157165
G000243395	0.0120057
G000244955	0.0297959
G000244975	0.0180449
G000258175	0.010987
G000328705	0.0273402
G000374445	0.0184997
G000383795	0.0151526
G000384315	0.0690326
G000429025	0.0150253
G000482865	0.0154437
G000504245	0.0133336
G000525635	0.024357
G000564855	0.0214647
G000568255	0.0246298
G000620785	0.025121
G000715825	0.0335613
G000715895	0.0128424
G000716595	0.0205734
G000716755	0.0359988
G000717175	0.0267217
G000717335	0.0384182
G000719115	0.0142795
G000719975	0.0269218
G000732925	0.0462764
G000974445	0.0170262
G001302585	0.0227744
G001420995	0.0183541
G001701025	0.0209736
G001902615	0.0174992
G001921215	0.029232
G900104505	0.0170444
G900115565	0.0526067
G900129375	0.0228108
