#FeatureID	ESTIMATED
G000009765	0.0207855
G000091305	0.104501
G000158935	0.0201192
G000158955	0.0918228
G000203835	0.0216739
G000317595	0.0550455
G000331005	0.0277819
G000349325	0.0311505
G000376565	0.0379618
G000444875	0.0215999
G000497445	0.025894
G000716215	0.0449952
G000716805	0.0238765
G000718315	0.0167876
G000721105	0.0433479
G000721275	0.0200267
G000725795	0.0149922
G000830005	0.0263937
G000968255	0.0211927
G001005085	0.032187
G001013905	0.0199896
G001279985	0.0225624
G001298575	0.0189346
G001418335	0.0200267
G001418415	0.0164359
G001418585	0.0306323
G001418655	0.0247094
G001419695	0.0141038
G001419745	0.0128452
G001509795	0.0230991
G001513975	0.0413859
G001654495	0.0178056
G001660045	0.0184719
G001905365	0.0168616
