#FeatureID	ESTIMATED
G000007865	0.0160271
G000015005	0.0237727
G000015305	0.0143891
G000015405	0.0193947
G000164135	0.0156903
G000195855	0.0671545
G000222105	0.01941
G000266905	0.0128584
G000277125	0.0172057
G000340435	0.0299876
G000455325	0.15251
G000526915	0.0766911
G000612825	0.0357126
G000613185	0.0167618
G000759695	0.0277374
G000805385	0.11294
G001005175	0.0250279
G001021495	0.0155219
G001291445	0.0127972
G001428895	0.0145881
G001499855	0.0235278
G001499915	0.0181089
G001570425	0.0254412
G001583415	0.0326664
G001584765	0.0141442
G001655245	0.0144657
G001881585	0.145468
