#FeatureID	ESTIMATED
G000014385	0.0165725
G000286115	0.0218733
G000286215	0.0172626
G000309425	0.0226134
G000725025	0.0220533
G000725035	0.0223434
G000762045	0.0102515
G001867465	0.0212632
G001867525	0.0220133
G001867535	0.0213732
G001867615	0.0217233
G001867795	0.0217733
G001867835	0.0217533
G001867875	0.0217233
G001867915	0.0217133
G001867975	0.0217333
G001868045	0.0219333
G001868055	0.0217333
G001868105	0.0213732
G001868115	0.0213232
G001868145	0.0216933
G001868185	0.0219533
G001868195	0.0215632
G001868205	0.0220533
G001868225	0.0217233
G001868275	0.0212932
G001868315	0.0217133
G001868405	0.0218533
G001868425	0.0219033
G001868525	0.0219133
G001868545	0.0216632
G001868715	0.0217733
G001868805	0.0213732
G001869295	0.0218233
G001869305	0.0218133
G001869395	0.0217433
G001869405	0.0217033
G001869445	0.0217733
G001869655	0.0213532
G001869735	0.0215032
G001869815	0.0218233
G001869885	0.0216833
G001869945	0.0213432
G001869985	0.0216833
G001870005	0.0219633
G001870015	0.0216833
G001939485	0.0212332
